Roll No,CPI,Attn Bonus,A30,A20,B30,B20,C30,C20,D30,D20,E30,E20,F30,F20,S20,S80
118,8.02,15,29,18,29,20,29,20,29,20,29,20,29,20,20,76
119,8.02,15,17,10,18,12,21,14,16,11,24,16,24,16,14,58
120,7.99,15,23,13,23,16,22,15,30,20,24,16,25,17,16,64
121,7.98,15,25,14,21,14,23,16,23,16,26,18,25,17,16,68
122,7.98,15,24,14,20,14,22,15,21,14,25,17,25,17,16,69
123,7.98,12,20,11,20,14,16,11,23,16,20,14,20,14,14,54
124,7.97,15,26,15,22,15,23,16,22,15,25,17,23,16,16,63
125,7.97,15,24,14,20,14,22,15,22,15,22,15,22,15,15,59
126,7.96,15,23,13,24,16,24,16,22,15,24,16,24,16,16,62
127,7.96,15,24,14,17,12,24,16,24,16,27,19,24,16,16,63
128,7.94,15,19,11,17,11,27,18,27,18,27,18,24,17,17,65
129,7.93,15,27,16,27,18,26,18,27,18,27,18,27,18,18,72
130,7.91,15,27,17,27,18,27,18,27,18,27,18,27,18,18,72
131,7.91,15,17,12,5,10,13,10,2,10,13,10,14,10,12,55
132,7.9,15,18,10,17,12,23,16,22,15,23,16,23,16,14,63
133,7.89,15,27,16,23,16,27,18,27,18,27,18,27,18,18,72
134,7.89,15,27,16,18,12,25,17,28,19,28,19,28,19,18,72
135,7.89,15,24,14,22,15,22,15,24,16,24,16,23,16,16,63
136,7.89,15,26,16,24,17,25,18,25,18,28,20,25,18,18,70
137,7.88,9,18,9,17,11,21,15,26,18,24,17,21,15,14,54
138,7.88,15,28,17,24,17,27,19,27,19,29,20,28,20,19,73
139,7.88,15,20,11,20,14,22,15,22,15,25,17,23,16,15,63
140,7.88,15,22,13,22,15,26,18,26,18,26,18,26,18,17,65
141,7.86,15,16,10,25,18,24,16,24,17,20,14,23,16,15,58
142,7.86,15,22,13,22,15,25,17,25,17,25,17,25,17,17,65
143,7.86,15,25,15,23,16,24,17,23,16,27,18,25,17,17,65
144,7.85,15,20,11,20,14,23,16,22,15,23,16,22,15,15,70
145,7.85,13,17,10,24,16,21,14,25,17,22,15,22,15,15,60
146,7.83,15,23,13,23,16,22,15,29,20,24,16,24,17,16,62
147,7.83,15,17,10,16,11,16,11,7,10,17,12,18,12,11,55
148,7.82,15,24,14,21,14,23,16,23,16,25,18,24,17,16,66
149,7.82,15,24,14,20,14,22,15,21,14,24,17,24,17,16,67
150,7.79,15,24,14,24,17,24,17,24,17,26,18,25,17,17,65
151,7.77,15,20,11,19,13,24,17,24,17,22,15,22,15,15,65
152,7.75,15,17,12,5,10,13,10,2,10,13,10,14,10,12,53
153,7.75,15,21,12,16,11,25,17,29,20,25,17,24,16,16,64
154,7.73,15,26,16,18,12,24,17,27,19,27,19,27,19,18,70
155,7.72,15,20,11,20,14,21,15,21,15,22,15,22,15,15,63
156,7.72,14,26,15,21,14,26,18,21,14,27,18,24,16,17,68
157,7.7,15,27,17,19,13,24,17,24,17,26,18,26,18,17,65
158,7.7,14,19,11,23,16,21,15,27,18,26,18,24,17,16,62
159,7.7,14,27,16,25,17,25,17,25,17,26,18,24,16,17,65
160,7.7,14,13,10,12,10,13,10,6,10,12,10,16,11,12,55
161,7.69,15,20,11,20,14,23,16,22,15,23,16,22,15,15,68
162,7.69,13,17,10,24,16,21,14,24,17,22,15,22,15,15,58
163,7.69,14,18,10,17,12,24,16,18,12,23,16,24,16,14,62
164,7.69,11,20,11,30,20,28,19,28,19,26,18,27,18,18,72
165,7.67,15,17,10,16,11,16,11,7,10,17,12,18,12,11,53
166,7.67,15,23,13,18,13,22,15,18,12,22,15,22,15,15,58
167,7.66,14,18,10,23,16,19,13,24,16,24,16,24,16,15,74
168,7.62,14,24,14,20,14,25,17,27,18,24,17,25,17,17,65
169,7.6,15,15,9,17,11,18,13,16,11,21,15,20,14,12,59
170,7.6,13,18,10,19,13,18,13,23,16,23,16,21,15,14,54
171,7.6,15,21,12,16,11,24,17,28,20,24,17,24,16,16,62
172,7.57,15,16,9,22,15,22,15,22,15,21,15,21,15,14,59
173,7.57,14,25,15,21,14,25,18,21,14,26,18,24,16,17,66
174,7.56,10,20,11,26,18,17,11,24,17,21,15,22,15,15,58
175,7.55,13,21,12,25,17,21,15,27,18,19,13,23,16,16,62
176,7.55,14,26,16,24,17,24,17,24,17,25,18,24,16,17,63
177,7.55,14,13,10,12,10,13,10,6,10,12,10,16,11,12,53
178,7.54,14,18,10,17,12,24,16,18,12,23,16,24,16,14,60
179,7.54,11,20,11,29,20,27,19,27,19,25,18,26,18,18,70
180,7.53,15,18,9,21,15,21,15,24,17,24,17,24,17,15,59
181,7.53,14,21,12,17,12,19,13,18,12,21,14,19,13,13,65
182,7.53,14,24,14,17,12,24,16,24,16,24,16,25,17,16,65
183,7.52,15,23,13,18,12,23,16,21,15,24,17,27,18,16,65
184,7.51,14,18,10,23,16,19,13,24,16,24,16,24,16,15,72
185,7.51,15,24,14,25,17,27,18,27,18,27,18,27,18,18,72
186,7.51,13,19,11,18,12,18,13,22,15,18,13,19,13,13,51
187,7.5,14,13,10,12,10,12,10,12,10,12,10,12,10,12,65
188,7.49,14,20,11,21,14,23,16,23,16,24,16,23,16,15,72
189,7.47,14,21,12,21,14,21,14,20,14,21,14,21,14,14,69
190,7.47,10,20,11,20,14,17,12,21,14,20,14,20,14,13,52
191,7.47,14,19,10,20,14,20,14,23,16,20,14,21,14,14,56
192,7.43,9,16,9,17,11,15,10,15,10,19,13,17,11,11,44
193,7.43,14,23,13,17,12,19,13,18,12,22,15,19,13,14,62
194,7.43,14,22,13,18,12,19,13,23,16,23,16,23,16,15,59
195,7.42,14,20,11,22,15,24,16,16,11,25,17,24,16,15,65
196,7.42,14,23,13,20,14,20,14,20,14,22,15,23,16,15,64
197,7.4,14,22,13,21,15,22,15,22,15,24,17,25,17,16,65
198,7.38,14,20,11,18,12,18,12,17,11,17,11,20,14,13,62
